Dataset,Model,Privacy Setting,Accuracy mean,Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,Train Time (s) mean,Train Time (s) std
NHANES,Federated Logistic Regression,"FL (10 clients, 20 rounds)",0.8401433691756273,0.0036727422100213945,0.4928366556534004,0.01042667089407686,0.3557121577111825,0.0014318075744760865,0.8037037037037036,0.050034281800393696,0.23097286224365235,0.0050768498579548925
NHANES,Federated Logistic Regression,"FL (3 clients, 10 rounds)",0.8602150537634408,0.008870515176175346,0.5310886011306007,0.019079063371682678,0.39376459330143543,0.015601221851583882,0.8185185185185185,0.05767559815702754,0.055494070053100586,0.009086163250059552
NHANES,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8516129032258064,0.006633245707283763,0.5137750813132166,0.013807473902698646,0.37650821908714543,0.008818019059966084,0.8111111111111111,0.05616944773371519,0.14782929420471191,0.004346553211570354
NHANES,Federated Random Forest,"FL (10 clients, 20 rounds)",0.9397849462365592,0.008834234798470415,0.6374862477233574,0.06720839819067316,0.7574252491694352,0.04305169085601596,0.5518518518518519,0.07790994062208384,1.9753785133361816,0.020104385458959442
NHANES,Federated Random Forest,"FL (3 clients, 10 rounds)",0.9440860215053763,0.005862160298851636,0.681328212305656,0.036367140828195525,0.7589489807941557,0.03412749168495187,0.6185185185185185,0.04057204129667894,0.4382329940795898,0.008422484987307419
NHANES,Federated Random Forest,"FL (5 clients, 20 rounds)",0.9440860215053763,0.009085155452069204,0.6763859343600516,0.061085453466247545,0.7644545556679024,0.044830023459603185,0.6074074074074074,0.0710010722691882,1.209039831161499,0.03604356229156448
NHANES,Logistic Regression,Baseline (No Privacy),0.8802867383512545,0.007749730577218508,0.5760814067492948,0.009058436481388803,0.43931080876983686,0.015537322967114908,0.8407407407407408,0.05647389141472928,0.003639030456542969,0.0006809695704727541
NHANES,Random Forest,Baseline (No Privacy),0.9476702508960575,0.010169362694703298,0.7068563097841448,0.06268130175539825,0.7682688660229848,0.05113911025622573,0.6555555555555556,0.07476529347476428,0.15481352806091309,0.004510537885881057
