Dataset,Model,Privacy Setting,Accuracy mean,Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,Train Time (s) mean,Train Time (s) std
COVID-19,DP Logistic Regression,DP e=0.1,0.83334,0.04681210313583441,0.3027439620119681,0.049740236400130075,0.1953759976788027,0.04599496203735071,0.7213991769547325,0.11963919180471455,0.01735844612121582,0.0017371193920220048
COVID-19,DP Logistic Regression,DP e=0.5,0.77398,0.021328197298412236,0.2729733059468026,0.0176603240109803,0.16207883071283774,0.012710865277039187,0.868724279835391,0.011400736771353953,0.021289825439453125,0.00366725523227828
COVID-19,DP Logistic Regression,DP e=1.0,0.7303200000000001,0.01817338713613945,0.24230363371207736,0.010381415711195737,0.1404239158616813,0.00719025420690329,0.8851851851851851,0.01674143671342226,0.0221832275390625,0.002012134494568852
COVID-19,DP Logistic Regression,DP e=10.0,0.7576400000000001,0.0027300183149569055,0.26065499833052863,0.0033537688560085818,0.1530162745261257,0.0020637704894057576,0.8790123456790123,0.011307515772867581,0.021935176849365235,0.0020673135065831065
COVID-19,DP Logistic Regression,DP e=5.0,0.75622,0.003079285631441171,0.25961909583629905,0.0026502851142459517,0.15229158132086879,0.0016644392833956613,0.8794238683127572,0.011326221353516798,0.021722888946533202,0.0023740157514260127
COVID-19,DP Random Forest,DP e=0.1,0.9513999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14575014114379883,0.005919020014744061
COVID-19,DP Random Forest,DP e=0.5,0.9513999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1461413860321045,0.004074092311189304
COVID-19,DP Random Forest,DP e=1.0,0.9513999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14976286888122559,0.007321748027302544
COVID-19,DP Random Forest,DP e=10.0,0.9513999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477968215942383,0.0028109940628485825
COVID-19,DP Random Forest,DP e=5.0,0.9513999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14796762466430663,0.007300061983954097
COVID-19,Logistic Regression,Baseline (No Privacy),0.9568200000000001,0.0012397580409095907,0.3979662439446951,0.0199487292725604,0.6174451350925313,0.027873860095097947,0.2938271604938272,0.01760432068823655,0.023938322067260744,0.01164888571052056
COVID-19,Random Forest,Baseline (No Privacy),0.95806,0.000792464510246373,0.47386171418096235,0.013077519505403944,0.6074816496908779,0.016496906909523105,0.3888888888888889,0.018802126422322075,0.7894599437713623,0.01926745181610603
