Method,Accuracy,F1 Score,Precision,Recall,Runtime Seconds
Normal Logistic Regression,0.9247311827956989,0.4166666666666667,0.8333333333333334,0.2777777777777778,0.004981040954589844
HE Logistic Regression Inference,0.9247311827956989,0.4166666666666667,0.8333333333333334,0.2777777777777778,3.5876951217651367
