Dataset,Model,Privacy Setting,Accuracy mean,Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,Train Time (s) mean,Train Time (s) std
NHANES,DP Logistic Regression,DP e=0.1,0.8007168458781362,0.09141014746133014,0.17546126746139037,0.193453692166857,0.15497537090926689,0.20041695043850194,0.2444444444444444,0.24230262568586852,0.002071571350097656,0.00019660972408593172
NHANES,DP Logistic Regression,DP e=0.5,0.8810035842293906,0.05752381103697337,0.34713132476215225,0.21011943039366485,0.5337301587301587,0.30602545809584447,0.3814814814814815,0.2831577766451467,0.0023618221282958986,0.00013928088122666996
NHANES,DP Logistic Regression,DP e=1.0,0.8706093189964157,0.09665298396245985,0.4518239228601847,0.19101330025073213,0.5424567810934671,0.24585824145469512,0.5555555555555556,0.31426968052735443,0.003061532974243164,0.0005006090467245047
NHANES,DP Logistic Regression,DP e=10.0,0.896415770609319,0.015898390764313146,0.5816989674184991,0.04183826673104349,0.4810220650191296,0.047488220226097555,0.7407407407407407,0.05555555555555556,0.0031541824340820313,5.026325081592749e-05
NHANES,DP Logistic Regression,DP e=5.0,0.9046594982078853,0.02278876610611011,0.6015981141814196,0.047595831883114295,0.5167321512679095,0.07165929767411741,0.7333333333333333,0.0622508752369319,0.0031400680541992187,0.0001986056530238239
NHANES,DP Random Forest,DP e=0.1,0.9035842293906811,0.0008014580564515824,0.007272727272727273,0.016262312563634834,0.2,0.4472135954999579,0.0037037037037037034,0.00828173324999922,0.09078078269958496,0.013153364792705015
NHANES,DP Random Forest,DP e=0.5,0.9035842293906811,0.0008014580564515824,0.007272727272727273,0.016262312563634834,0.2,0.4472135954999579,0.0037037037037037034,0.00828173324999922,0.08566036224365234,0.0021263032565976094
NHANES,DP Random Forest,DP e=1.0,0.9032258064516128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08610057830810547,0.0020116685902283053
NHANES,DP Random Forest,DP e=10.0,0.9032258064516128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08437929153442383,0.002467444353963099
NHANES,DP Random Forest,DP e=5.0,0.9032258064516128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08532061576843261,0.0010450382485252617
NHANES,Logistic Regression,Baseline (No Privacy),0.9326164874551971,0.008270953949257588,0.5191207963305603,0.09788310144109812,0.8232557199450239,0.019915482638483455,0.3851851851851852,0.10006856360078736,0.003321266174316406,0.0005836656667693743
NHANES,Random Forest,Baseline (No Privacy),0.9516129032258064,0.004569013901068845,0.7353926103785995,0.0290819602268864,0.7802291325695581,0.023534482551808695,0.6962962962962963,0.04263283123415308,0.16595630645751952,0.004643391871572495
