Dataset,Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s)
COVID-19,Federated Logistic Regression,"FL (10 clients, 20 rounds)",0.86496,0.39466332265895215,0.2523013869636917,0.9057613168724281,0.6751928806304932
COVID-19,Federated Logistic Regression,"FL (3 clients, 10 rounds)",0.86418,0.393073968740237,0.25106755481608156,0.9049382716049383,0.2593537330627441
COVID-19,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8646,0.3938169560153941,0.2516762644877076,0.9049382716049383,0.5406910419464112
COVID-19,Federated Random Forest,"FL (10 clients, 20 rounds)",0.9521000000000001,0.5095873021860154,0.5079809196638106,0.5123456790123457,5.092937326431274
COVID-19,Federated Random Forest,"FL (3 clients, 10 rounds)",0.93916,0.5167282412896346,0.42126857843841775,0.6691358024691358,1.7114373683929442
COVID-19,Federated Random Forest,"FL (5 clients, 20 rounds)",0.94682,0.5233043742743206,0.46394861605782844,0.6004115226337449,3.8789751529693604
COVID-19,Logistic Regression,Baseline (No Privacy),0.86342,0.3917433293154781,0.24998509423893603,0.9049382716049383,0.025126123428344728
COVID-19,Random Forest,Baseline (No Privacy),0.9177199999999999,0.4903795549142672,0.3508865969578611,0.81440329218107,0.7447020053863526
