Dataset,Method,Accuracy,F1 Score,Precision,Recall,Runtime Seconds
COVID-19,HE Logistic Regression Inference,0.9568 ± 0.0012,0.3980 ± 0.0199,0.6174 ± 0.0279,0.2938 ± 0.0176,71.1274 ± 0.3281
COVID-19,Normal Logistic Regression,0.9568 ± 0.0012,0.3980 ± 0.0199,0.6174 ± 0.0279,0.2938 ± 0.0176,0.0229 ± 0.0076
