Dataset,Model,Privacy Setting,Accuracy mean,Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,Train Time (s) mean,Train Time (s) std
COVID-19,Federated Logistic Regression,"FL (10 clients, 20 rounds)",0.86496,0.0014397916515940926,0.39466332265895215,0.0037846405957440866,0.2523013869636917,0.002615447270195255,0.9057613168724281,0.008897838810880512,0.6751928806304932,0.018738986699243187
COVID-19,Federated Logistic Regression,"FL (3 clients, 10 rounds)",0.86418,0.0015927962832703831,0.393073968740237,0.004074553833757102,0.25106755481608156,0.0028442362906960414,0.9049382716049383,0.009132650625996759,0.2593537330627441,0.003814274871060642
COVID-19,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8646,0.0018220867158288752,0.3938169560153941,0.003981175358446613,0.2516762644877076,0.0028964466206496944,0.9049382716049383,0.009132650625996759,0.5406910419464112,0.01710499482399814
COVID-19,Federated Random Forest,"FL (10 clients, 20 rounds)",0.9521000000000001,0.0022011360703054843,0.5095873021860154,0.017957489483127507,0.5079809196638106,0.02181217400460955,0.5123456790123457,0.029244177785086204,5.092937326431274,0.07857893691540294
COVID-19,Federated Random Forest,"FL (3 clients, 10 rounds)",0.93916,0.0029577018105278775,0.5167282412896346,0.015336398140008114,0.42126857843841775,0.016337498966148268,0.6691358024691358,0.028414438429553997,1.7114373683929442,0.010760248352486563
COVID-19,Federated Random Forest,"FL (5 clients, 20 rounds)",0.94682,0.002346699810371981,0.5233043742743206,0.016018544645146175,0.46394861605782844,0.01794415460629182,0.6004115226337449,0.01825370791458175,3.8789751529693604,0.04031198255229258
COVID-19,Logistic Regression,Baseline (No Privacy),0.86342,0.0017210461934532412,0.3917433293154781,0.003601812496686754,0.24998509423893603,0.0025896973787161723,0.9049382716049383,0.009585032673952307,0.025126123428344728,0.0028220372417923473
COVID-19,Random Forest,Baseline (No Privacy),0.9177199999999999,0.002344568190520415,0.4903795549142672,0.006073549502426624,0.3508865969578611,0.00644032325924342,0.81440329218107,0.016357701164075568,0.7447020053863526,0.002566715599680885
