Dataset,Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s)
NHANES,Federated Logistic Regression,"FL (10 clients, 20 rounds)",0.8401433691756273,0.4928366556534004,0.3557121577111825,0.8037037037037036,0.23097286224365235
NHANES,Federated Logistic Regression,"FL (3 clients, 10 rounds)",0.8602150537634408,0.5310886011306007,0.39376459330143543,0.8185185185185185,0.055494070053100586
NHANES,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8516129032258064,0.5137750813132166,0.37650821908714543,0.8111111111111111,0.14782929420471191
NHANES,Federated Random Forest,"FL (10 clients, 20 rounds)",0.9397849462365592,0.6374862477233574,0.7574252491694352,0.5518518518518519,1.9753785133361816
NHANES,Federated Random Forest,"FL (3 clients, 10 rounds)",0.9440860215053763,0.681328212305656,0.7589489807941557,0.6185185185185185,0.4382329940795898
NHANES,Federated Random Forest,"FL (5 clients, 20 rounds)",0.9440860215053763,0.6763859343600516,0.7644545556679024,0.6074074074074074,1.209039831161499
NHANES,Logistic Regression,Baseline (No Privacy),0.8802867383512545,0.5760814067492948,0.43931080876983686,0.8407407407407408,0.003639030456542969
NHANES,Random Forest,Baseline (No Privacy),0.9476702508960575,0.7068563097841448,0.7682688660229848,0.6555555555555556,0.15481352806091309
