Seed,Model,Privacy Setting,Train Rows Used,Rows Suppressed,Suppression Rate (%),Equivalence Classes Before,Equivalence Classes After,Min Equivalence Class Size,Accuracy,F1 Score,Precision,Recall,Train Time (s),Predict Time (s),Skipped Reason
123,K-anonymised Logistic Regression,K-anonymity k=2,2231,0,0.0,80,80,5,0.8996,0.641,0.4902,0.9259,0.0032,0.0003,
123,K-anonymised Random Forest,K-anonymity k=2,2231,0,0.0,80,80,5,0.9498,0.6957,0.8421,0.5926,0.1445,0.005,
123,K-anonymised Logistic Regression,K-anonymity k=5,2231,0,0.0,80,80,5,0.8996,0.641,0.4902,0.9259,0.0041,0.0005,
123,K-anonymised Random Forest,K-anonymity k=5,2231,0,0.0,80,80,5,0.9498,0.6957,0.8421,0.5926,0.1474,0.0046,
123,K-anonymised Logistic Regression,K-anonymity k=10,2165,66,2.96,80,71,11,0.8871,0.6135,0.4587,0.9259,0.0037,0.0003,
123,K-anonymised Random Forest,K-anonymity k=10,2165,66,2.96,80,71,11,0.9498,0.6957,0.8421,0.5926,0.1377,0.0044,
123,K-anonymised Logistic Regression,K-anonymity k=20,1937,294,13.18,80,56,20,0.862,0.565,0.4065,0.9259,0.0029,0.0003,
123,K-anonymised Random Forest,K-anonymity k=20,1937,294,13.18,80,56,20,0.9498,0.6957,0.8421,0.5926,0.1156,0.0039,
123,K-anonymised Logistic Regression,K-anonymity k=50,411,1820,81.58,80,7,51,0.5591,0.3011,0.1779,0.9815,0.0014,0.0003,
123,K-anonymised Random Forest,K-anonymity k=50,411,1820,81.58,80,7,51,0.9498,0.7083,0.8095,0.6296,0.0454,0.0029,
123,K-anonymised Logistic Regression,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
123,K-anonymised Random Forest,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
