Seed,Model,Privacy Setting,Train Rows Used,Rows Suppressed,Suppression Rate (%),Equivalence Classes Before,Equivalence Classes After,Min Equivalence Class Size,Accuracy,F1 Score,Precision,Recall,Train Time (s),Predict Time (s),Skipped Reason
100,K-anonymised Logistic Regression,K-anonymity k=2,39980,20,0.05,135,115,2,0.9007,0.5196,0.3641,0.9071,0.018,0.0004,
100,K-anonymised Random Forest,K-anonymity k=2,39980,20,0.05,135,115,2,0.8902,0.5018,0.3431,0.9341,0.4705,0.0394,
100,K-anonymised Logistic Regression,K-anonymity k=5,39946,54,0.14,135,100,5,0.9007,0.5196,0.3641,0.9071,0.0171,0.0004,
100,K-anonymised Random Forest,K-anonymity k=5,39946,54,0.14,135,100,5,0.8863,0.4926,0.3347,0.9324,0.4615,0.0387,
100,K-anonymised Logistic Regression,K-anonymity k=10,39911,89,0.22,135,95,12,0.9007,0.5196,0.3641,0.9071,0.0154,0.0004,
100,K-anonymised Random Forest,K-anonymity k=10,39911,89,0.22,135,95,12,0.8912,0.5046,0.3454,0.9358,0.4637,0.0391,
100,K-anonymised Logistic Regression,K-anonymity k=20,39673,327,0.82,135,80,20,0.901,0.5199,0.3646,0.9054,0.018,0.0004,
100,K-anonymised Random Forest,K-anonymity k=20,39673,327,0.82,135,80,20,0.886,0.4933,0.3347,0.9375,0.4586,0.0386,
100,K-anonymised Logistic Regression,K-anonymity k=50,39175,825,2.06,135,66,52,0.8863,0.4894,0.3333,0.9206,0.0187,0.0003,
100,K-anonymised Random Forest,K-anonymity k=50,39175,825,2.06,135,66,52,0.8912,0.5046,0.3454,0.9358,0.4503,0.0384,
100,K-anonymised Logistic Regression,K-anonymity k=100,38426,1574,3.94,135,55,106,0.8887,0.4939,0.3379,0.9172,0.0233,0.0004,
100,K-anonymised Random Forest,K-anonymity k=100,38426,1574,3.94,135,55,106,0.8878,0.4932,0.3366,0.9223,0.4327,0.0373,
123,Logistic Regression,Baseline (No Privacy),40000,0,0.0,135,135,1,0.904,0.5303,0.3733,0.9155,0.0185,0.0003,
123,Random Forest,Baseline (No Privacy),40000,0,0.0,135,135,1,0.8921,0.5062,0.3471,0.9341,0.4695,0.0393,
123,K-anonymised Logistic Regression,K-anonymity k=2,39981,19,0.05,135,116,2,0.904,0.5303,0.3733,0.9155,0.0181,0.0004,
123,K-anonymised Random Forest,K-anonymity k=2,39981,19,0.05,135,116,2,0.8919,0.5048,0.3463,0.9307,0.4703,0.0393,
